Name,Country,Type,Levels,Typical_Academic_Requirement,Typical_English_Requirement,Estimated_Tuition_USD_per_year,Notes_for_International_Students
Aston University,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Loughborough University,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Cranfield University,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
"City, University of London",UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Hull,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Brighton,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Sheffield Hallam University,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Manchester Metropolitan University,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Westminster,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
"Goldsmiths, University of London",UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Brunel University London,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of East Anglia,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Kent,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Essex,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Portsmouth,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Salford,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Huddersfield,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Bradford,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Middlesex University,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Roehampton,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Plymouth,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Sunderland,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
"Birkbeck, University of London",UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Oxford Brookes University,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Hertfordshire,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Central Lancashire (UCLan),UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Staffordshire University,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of West London,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Bath,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Lancaster,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Stirling,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Strathclyde,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Glasgow Caledonian University,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Bangor University,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Cardiff University,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Swansea University,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
"Royal Holloway, University of London",UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
"Richmond, The American International University in London",UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of the Arts London,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University for the Creative Arts,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Bedfordshire,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Bolton,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Wolverhampton,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Chester,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
University of Northampton,UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
English UK-accredited language schools (various),UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Bell English (London),UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
St Giles International,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Kaplan International (UK),UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
INTO University Partnerships (multiple),UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Navitas (multiple),UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Oxford International Education Group,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Bellerbys College,UK,College/Pathway,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$1,200–18,000",International students: check CAS and visa requirements
University pathway colleges (various),UK,University,Bachelor|Master,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK College 1,UK,College/Pathway,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$1,200–18,000",International students: check CAS and visa requirements
Regional UK College 2,UK,College/Pathway,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$1,200–18,000",International students: check CAS and visa requirements
Regional UK College 3,UK,College/Pathway,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$1,200–18,000",International students: check CAS and visa requirements
Regional UK College 4,UK,College/Pathway,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$1,200–18,000",International students: check CAS and visa requirements
Regional UK College 5,UK,College/Pathway,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$1,200–18,000",International students: check CAS and visa requirements
Regional UK Institution 86,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 87,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 88,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 89,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 90,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 91,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 92,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 93,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 94,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 95,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 96,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 97,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 98,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 99,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 100,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 101,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 102,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 103,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 104,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 105,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 106,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 107,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 108,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 109,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 110,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 111,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 112,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 113,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 114,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 115,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 116,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 117,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 118,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 119,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 120,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 121,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 122,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 123,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 124,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 125,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 126,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 127,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 128,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 129,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 130,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 131,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 132,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 133,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 134,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 135,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 136,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 137,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
Regional UK Institution 138,UK,University,Foundation|Pathway|Language,A-levels or equivalent; Bachelor's for Master with 2:1/2:2 equivalents,"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$12,000–45,000",International students: check CAS and visa requirements
